dataset,session_id,subject_id,brain_region,behavioral_context,analysis,metric,value,n_units,n_bins,status,evidence_level
NWB hippocampal-entorhinal,26863_2020-Nov-04_12-46-06,26863_Ash,LEC,open_field,NWB true spike-time temporal drift,TOI,0.0008907057527890517,100,213,ok,raw_spike_times
NWB hippocampal-entorhinal,26863_2020-Nov-05_10-26-23,26863_Ash,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.0007397665733786575,100,153,ok,raw_spike_times
NWB hippocampal-entorhinal,26965_2020-Dec-07_15-52-32,26965_Bubinga,LEC,unknown,NWB true spike-time temporal drift,TOI,0.0013067780381175345,100,129,ok,raw_spike_times
NWB hippocampal-entorhinal,26965_2020-Dec-07_16-51-52,26965_Bubinga,LEC,unknown,NWB true spike-time temporal drift,TOI,0.0005916634098291954,100,90,ok,raw_spike_times
NWB hippocampal-entorhinal,26965_2020-Dec-08_10-46-12,26965_Bubinga,LEC,sequence_task,NWB true spike-time temporal drift,TOI,0.0006411838847084192,100,91,ok,raw_spike_times
NWB hippocampal-entorhinal,26965_2020-Dec-08_11-29-48,26965_Bubinga,LEC,open_field,NWB true spike-time temporal drift,TOI,0.0006894642449908344,100,89,ok,raw_spike_times
NWB hippocampal-entorhinal,26965_2020-Dec-08_14-36-11,26965_Bubinga,LEC,open_field,NWB true spike-time temporal drift,TOI,0.0010382104174551487,100,75,ok,raw_spike_times
NWB hippocampal-entorhinal,26965_2020-Dec-09_11-52-59,26965_Bubinga,LEC,sequence_task,NWB true spike-time temporal drift,TOI,0.0005125233609497505,100,81,ok,raw_spike_times
NWB hippocampal-entorhinal,26965_2020-Dec-09_12-10-58,26965_Bubinga,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.0010427678096355487,100,79,ok,raw_spike_times
NWB hippocampal-entorhinal,26965_2020-Dec-11_10-58-11,26965_Bubinga,LEC,open_field,NWB true spike-time temporal drift,TOI,0.00043207790799626417,100,57,ok,raw_spike_times
NWB hippocampal-entorhinal,26966_2020-Dec-14_15-18-10,26966_Cedar,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.0012679939449017766,100,103,ok,raw_spike_times
NWB hippocampal-entorhinal,26966_2020-Dec-14_16-26-40,26966_Cedar,LEC,unknown,NWB true spike-time temporal drift,TOI,0.001126481926791379,100,75,ok,raw_spike_times
NWB hippocampal-entorhinal,26966_2020-Dec-15_11-47-50,26966_Cedar,LEC,sequence_task,NWB true spike-time temporal drift,TOI,0.0011596876588238249,100,70,ok,raw_spike_times
NWB hippocampal-entorhinal,26966_2020-Dec-16_11-48-01,26966_Cedar,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.0009790916692689387,100,91,ok,raw_spike_times
NWB hippocampal-entorhinal,27284_2021-Jun-15_19-16-52,27284_Douglas,LEC,other,NWB true spike-time temporal drift,TOI,0.0011643516124768165,100,126,ok,raw_spike_times
NWB hippocampal-entorhinal,27284_2021-Jun-16_08-24-12,27284_Douglas,LEC,sleep,NWB true spike-time temporal drift,TOI,0.001248124450116297,100,997,ok,raw_spike_times
NWB hippocampal-entorhinal,27284_2021-Jun-16_14-33-11,27284_Douglas,LEC,other,NWB true spike-time temporal drift,TOI,0.0010687268970642418,100,148,ok,raw_spike_times
NWB hippocampal-entorhinal,27284_2021-Jun-17_15-01-36,27284_Douglas,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.0010087580916531046,100,129,ok,raw_spike_times
NWB hippocampal-entorhinal,27284_2021-Jun-18_11-01-41,27284_Douglas,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.0014377072170491433,100,107,ok,raw_spike_times
NWB hippocampal-entorhinal,27285_2021-Jul-01_08-10-45,27285_Elm,LEC,sleep,NWB true spike-time temporal drift,TOI,0.000942945426744077,100,826,ok,raw_spike_times
NWB hippocampal-entorhinal,27285_2021-Jul-01_12-33-30,27285_Elm,LEC,sequence_task,NWB true spike-time temporal drift,TOI,0.0016792320878245837,100,146,ok,raw_spike_times
NWB hippocampal-entorhinal,27285_2021-Jul-01_13-26-22,27285_Elm,LEC,open_field,NWB true spike-time temporal drift,TOI,0.0005794454086660384,100,62,ok,raw_spike_times
NWB hippocampal-entorhinal,27285_2021-Jul-02_13-23-12,27285_Elm,LEC,open_field,NWB true spike-time temporal drift,TOI,0.001002724058672956,100,61,ok,raw_spike_times
NWB hippocampal-entorhinal,27285_2021-Jun-30_10-03-39,27285_Elm,LEC,sequence_task,NWB true spike-time temporal drift,TOI,0.001403037827943258,100,197,ok,raw_spike_times
NWB hippocampal-entorhinal,27285_2021-Jun-30_13-05-14,27285_Elm,LEC,sequence_task,NWB true spike-time temporal drift,TOI,0.0014851216809620047,100,189,ok,raw_spike_times
NWB hippocampal-entorhinal,27285_2021-Jun-30_13-59-11,27285_Elm,LEC,open_field,NWB true spike-time temporal drift,TOI,0.0016006210808949168,100,154,ok,raw_spike_times
NWB hippocampal-entorhinal,27963_2022-Feb-08_21-14-27,27963_Hemlock,LEC,open_field,NWB true spike-time temporal drift,TOI,0.000894092775431733,100,110,ok,raw_spike_times
NWB hippocampal-entorhinal,27963_2022-Feb-09_08-02-57,27963_Hemlock,LEC,sleep,NWB true spike-time temporal drift,TOI,0.0016091752508409784,100,633,ok,raw_spike_times
NWB hippocampal-entorhinal,27963_2022-Feb-10_11-06-56,27963_Hemlock,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.0016577810771728474,100,185,ok,raw_spike_times
NWB hippocampal-entorhinal,27963_2022-Feb-10_14-07-47,27963_Hemlock,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.0017149264824534555,100,188,ok,raw_spike_times
NWB hippocampal-entorhinal,27963_2022-Feb-11_14-58-41,27963_Hemlock,LEC,open_field,NWB true spike-time temporal drift,TOI,0.0008876743973022072,100,60,ok,raw_spike_times
NWB hippocampal-entorhinal,28003_2022-Mar-07_20-44-03,28003_Ironwood,LEC,other,NWB true spike-time temporal drift,TOI,0.0006070908832782231,100,147,ok,raw_spike_times
NWB hippocampal-entorhinal,28003_2022-Mar-08_11-22-53,28003_Ironwood,LEC,open_field,NWB true spike-time temporal drift,TOI,0.0011275836403404388,100,80,ok,raw_spike_times
NWB hippocampal-entorhinal,28003_2022-Mar-08_11-38-59,28003_Ironwood,LEC,open_field,NWB true spike-time temporal drift,TOI,0.0012737008446511537,100,73,ok,raw_spike_times
NWB hippocampal-entorhinal,28003_2022-Mar-08_15-04-04,28003_Ironwood,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.0010564883046407499,100,187,ok,raw_spike_times
NWB hippocampal-entorhinal,28003_2022-Mar-09_07-54-00,28003_Ironwood,LEC,sleep,NWB true spike-time temporal drift,TOI,0.0014424021243014224,100,990,ok,raw_spike_times
NWB hippocampal-entorhinal,28003_2022-Mar-10_10-53-58,28003_Ironwood,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.0011488132565185757,100,187,ok,raw_spike_times
NWB hippocampal-entorhinal,29629_2024-Oct-29_15-05-13,29629_Karri,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.0013685298665830797,100,208,ok,raw_spike_times
NWB hippocampal-entorhinal,29629_2024-Oct-30_05-40-15,29629_Karri,LEC,sleep,NWB true spike-time temporal drift,TOI,0.0012378281546203125,100,1145,ok,raw_spike_times
NWB hippocampal-entorhinal,29629_2024-Oct-30_15-13-05,29629_Karri,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.0017699616917410301,100,199,ok,raw_spike_times
NWB hippocampal-entorhinal,29630_2024-Sep-17_07-08-26,29630_Juniper,LEC,sleep,NWB true spike-time temporal drift,TOI,0.0008285496275870659,100,550,ok,raw_spike_times
NWB hippocampal-entorhinal,29630_2024-Sep-17_09-22-08,29630_Juniper,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.0012892935194742596,100,204,ok,raw_spike_times
NWB hippocampal-entorhinal,29630_2024-Sep-17_13-26-08,29630_Juniper,LEC,sequence_task,NWB true spike-time temporal drift,TOI,0.0011921773042335615,100,343,ok,raw_spike_times
NWB hippocampal-entorhinal,29630_2024-Sep-17_23-09-30,29630_Juniper,LEC,sleep,NWB true spike-time temporal drift,TOI,0.0015879667547619035,100,732,ok,raw_spike_times
NWB hippocampal-entorhinal,29630_2024-Sep-18_10-18-21,29630_Juniper,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.001499388099392806,100,204,ok,raw_spike_times
NWB hippocampal-entorhinal,29630_2024-Sep-18_14-20-12,29630_Juniper,LEC,sequence_task,NWB true spike-time temporal drift,TOI,0.0016405745607171094,100,205,ok,raw_spike_times
NWB hippocampal-entorhinal,29630_2024-Sep-18_15-19-16,29630_Juniper,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.0011677339805098933,100,188,ok,raw_spike_times
NWB hippocampal-entorhinal,29630_2024-Sep-19_05-09-20,29630_Juniper,LEC,sleep,NWB true spike-time temporal drift,TOI,0.0010302763253538234,100,1006,ok,raw_spike_times
NWB hippocampal-entorhinal,29630_2024-Sep-19_11-15-17,29630_Juniper,LEC,sequence_task,NWB true spike-time temporal drift,TOI,0.0012798043921190682,100,275,ok,raw_spike_times
NWB hippocampal-entorhinal,29630_2024-Sep-20_09-49-05,29630_Juniper,LEC,object_or_object_openfield,NWB true spike-time temporal drift,TOI,0.0017806614956814946,100,190,ok,raw_spike_times
NWB hippocampal-entorhinal,29630_2024-Sep-20_10-32-21,29630_Juniper,LEC,sequence_task,NWB true spike-time temporal drift,TOI,0.002097056898314026,100,183,ok,raw_spike_times
NWB hippocampal-entorhinal,29630_2024-Sep-20_13-20-20,29630_Juniper,LEC,sequence_task,NWB true spike-time temporal drift,TOI,0.002283822464082648,100,206,ok,raw_spike_times
NWB hippocampal-entorhinal,29630_2024-Sep-24_14-25-53,29630_Juniper,LEC,sequence_task,NWB true spike-time temporal drift,TOI,0.0021864666693055795,100,156,ok,raw_spike_times
