dataset,session_id,subject_id,trial_number,trial_outcome,trial_side,trial_type,n_spikes_total,n_spiketrains,mean_spikes_per_spiketrain,n_events,n_event_times_total,record_level,activity
TouchAndSee object-memory,Ramachandran_samp20_2012-08-09,Ramachandran,1.0,incorrect,right,normal,6385.0,26.0,245.57692307692307,1.0,6.0,preview,245.57692307692307
TouchAndSee object-memory,Ramachandran_samp20_2012-08-09,Ramachandran,2.0,incorrect,right,normal,3937.0,26.0,151.42307692307693,1.0,6.0,preview,151.42307692307693
TouchAndSee object-memory,Ramachandran_samp20_2012-08-09,Ramachandran,6.0,correct,right,memory,3461.0,26.0,133.1153846153846,1.0,6.0,preview,133.1153846153846
TouchAndSee object-memory,Ramachandran_samp20_2012-08-09,Ramachandran,7.0,incorrect,left,normal,6154.0,26.0,236.69230769230768,1.0,6.0,preview,236.69230769230768
TouchAndSee object-memory,Ramachandran_samp20_2012-08-09,Ramachandran,8.0,incorrect,right,normal,2451.0,26.0,94.26923076923077,1.0,6.0,preview,94.26923076923077
TouchAndSee object-memory,Ramachandran_samp21_2012-08-10,Ramachandran,2.0,correct,left,normal,0.0,41.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp21_2012-08-10,Ramachandran,3.0,incorrect,right,normal,0.0,41.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp21_2012-08-10,Ramachandran,4.0,incorrect,right,normal,0.0,41.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp21_2012-08-10,Ramachandran,5.0,correct,right,normal,0.0,41.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp21_2012-08-10,Ramachandran,6.0,correct,right,memory,0.0,41.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp22_2012-08-11,Ramachandran,2.0,correct,right,normal,0.0,26.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp22_2012-08-11,Ramachandran,4.0,correct,right,normal,0.0,26.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp22_2012-08-11,Ramachandran,5.0,correct,left,normal,0.0,26.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp22_2012-08-11,Ramachandran,6.0,incorrect,right,normal,0.0,26.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp22_2012-08-11,Ramachandran,7.0,incorrect,right,normal,0.0,26.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp23_2012-08-12,Ramachandran,3.0,incorrect,right,normal,0.0,24.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp23_2012-08-12,Ramachandran,5.0,correct,right,memory,0.0,24.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Ramachandran_samp23_2012-08-12,Ramachandran,7.0,correct,right,memory,0.0,24.0,0.0,1.0,6.0,preview,0.0
