dataset_short_name,file,status,message
openfield_ca1,C:\Users\tkassably\Downloads\d-40faae41-7e72-4c3c-9abf-91dea149158d,no_t_files,No MClust .t files found
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26863\26863_2020-Nov-04_12-46-06.nwb,success,Extracted 1072 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26863\26863_2020-Nov-05_10-26-23.nwb,success,Extracted 721 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26965\26965_2020-Dec-07_15-52-32.nwb,success,Extracted 393 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26965\26965_2020-Dec-07_16-51-52.nwb,success,Extracted 393 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26965\26965_2020-Dec-08_10-46-12.nwb,success,Extracted 393 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26965\26965_2020-Dec-08_11-29-48.nwb,success,Extracted 240 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26965\26965_2020-Dec-08_14-36-11.nwb,success,Extracted 548 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26965\26965_2020-Dec-09_11-52-59.nwb,success,Extracted 544 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26965\26965_2020-Dec-09_12-10-58.nwb,success,Extracted 548 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26965\26965_2020-Dec-11_10-58-11.nwb,success,Extracted 544 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26966\26966_2020-Dec-14_15-18-10.nwb,success,Extracted 477 units
