category_feature,Dim1_loading,Dim2_loading,abs_Dim1_loading,abs_Dim2_loading
source_type_legacy_touchscreen,-0.0022305809270373,-0.06023308506748737,0.0022305809270373,0.06023308506748737
source_type_nwb,-0.08384030514022389,-0.1747542916514921,0.08384030514022389,0.1747542916514921
source_type_openfield,-0.06848277045923283,0.20955309352821638,0.06848277045923283,0.20955309352821638
source_type_touchandsee_pickle,0.17670923616209255,-0.03421228668464377,0.17670923616209255,0.03421228668464377
source_format_Axona/Neuralynx/MClust/OptiTrack,-0.06848277045923268,0.2095530935282162,0.06848277045923268,0.2095530935282162
source_format_NWB,-0.08384030514022375,-0.17475429165149226,0.08384030514022375,0.17475429165149226
source_format_Neo pickle,0.17670923616209247,-0.034212286684643864,0.17670923616209247,0.034212286684643864
source_format_legacy Neo/NIX,-0.0022305809270372887,-0.0602330850674874,0.0022305809270372887,0.0602330850674874
recording_system_20403313322; 20403313401,-0.01850867488547237,-0.040191904977046146,0.01850867488547237,0.040191904977046146
recording_system_20403313402; 20403313482,-0.03794118362343222,-0.08101425226809086,0.03794118362343222,0.08101425226809086
recording_system_Axona,-0.08175533423546079,0.16453781911966772,0.08175533423546079,0.16453781911966772
recording_system_Neo pickle,0.17670923616209255,-0.03421228668464375,0.17670923616209255,0.03421228668464375
recording_system_Neuralynx,0.020021755879294785,0.08603519107198933,0.020021755879294785,0.08603519107198933
recording_system_legacy Neo/NIX,-0.002230580927037295,-0.060233085067487736,0.002230580927037295,0.060233085067487736
recording_system_neuropixel_2_19122505151,-0.028521349494651987,-0.056557669359094745,0.028521349494651987,0.056557669359094745
recording_system_neuropixel_2_19122519093,-0.02065073039485931,-0.04166567789230295,0.02065073039485931,0.04166567789230295
recording_system_neuropixel_2_19122519211,-0.015059733233544615,-0.028832197190286925,0.015059733233544615,0.028832197190286925
recording_system_neuropixels_1_18408403091; neuropixels_2_19122509121,-0.023583616713558613,-0.04838822170124061,0.023583616713558613,0.04838822170124061
recording_system_neuropixels_2_19122502062; neuropixels_2_19122511841; neuropixels_2_19122514182,-0.025758295452323277,-0.05408179844095618,0.025758295452323277,0.05408179844095618
recording_system_neuropixels_2_19122510811; neuropixels_2_20403311343; neuropixels_2_20403311393,-0.023214717746016342,-0.04963354432378764,0.023214717746016342,0.04963354432378764
recording_system_neuropixels_2_20403311113; neuropixels_2_20403311151; neuropixels_2_20403320473,-0.025273535119981545,-0.05381801447203359,0.025273535119981545,0.05381801447203359
"behavioral_context_2 OF sessions with short pot break inbetween, some jumping",-0.00979622411941123,-0.020411896902991666,0.00979622411941123,0.020411896902991666
behavioral_context_35 mins; OF; decent coverage; still plugged in from previous session in room 2.408,-0.00979748361511195,-0.020336122425936604,0.00979748361511195,0.020336122425936604
behavioral_context_NWB electrophysiology,-0.017022631491024016,-0.03539766270523092,0.017022631491024016,0.03539766270523092
behavioral_context_OF,-0.019713066205278327,-0.04116493716075046,0.019713066205278327,0.04116493716075046
behavioral_context_OF and obj,-0.010650642587708327,-0.022989995041803178,0.010650642587708327,0.022989995041803178
behavioral_context_OF tall walls,-0.009796224119411228,-0.020411896902991673,0.009796224119411228,0.020411896902991673
"behavioral_context_OF, LEC was likely deep layers",-0.009788568331911943,-0.02043264585673111,0.009788568331911943,0.02043264585673111
"behavioral_context_OF, OBJ",-0.026401876872937064,-0.05716147737288102,0.026401876872937064,0.05716147737288102
"behavioral_context_OF, obj, obj, obj",-0.01508785294974124,-0.03263235032782236,0.01508785294974124,0.03263235032782236
behavioral_context_TouchAndSee,0.1767092361620924,-0.03421228668464387,0.1767092361620924,0.03421228668464387
behavioral_context_figure-eight,-0.01453875305164703,-0.03766462738894644,0.01453875305164703,0.03766462738894644
behavioral_context_object events,-0.015085657342406668,-0.032618490182020864,0.015085657342406668,0.032618490182020864
behavioral_context_open field (motive crashed),-0.01058155692152993,-0.017757559374602536,0.01058155692152993,0.017757559374602536
behavioral_context_open field / navigation,-0.06848277045923276,0.20955309352821627,0.06848277045923276,0.20955309352821627
behavioral_context_open field and objA of WWW,-0.011450690857985989,-0.020418629098874288,0.011450690857985989,0.020418629098874288
"behavioral_context_open field, WHAT, and WHERE",-0.01056780195011635,-0.017779657353129683,0.01056780195011635,0.017779657353129683
"behavioral_context_open field, WHEN1",-0.01056780195011634,-0.01777965735312969,0.01056780195011634,0.01777965735312969
"behavioral_context_open field, open field",-0.010567801950116347,-0.017779657353129714,0.010567801950116347,0.017779657353129714
behavioral_context_open field; novel object,-0.011441672452599031,-0.02037195088702409,0.011441672452599031,0.02037195088702409
behavioral_context_open field; object,-0.019910584631614287,-0.03541355297138505,0.019910584631614287,0.03541355297138505
behavioral_context_open field; party lights,-0.014998584970925315,-0.025171927349646964,0.014998584970925315,0.025171927349646964
behavioral_context_seq1,-0.017055334209750552,-0.03563788425318841,0.017055334209750552,0.03563788425318841
behavioral_context_seq2,-0.01705533420975057,-0.03563788425318842,0.01705533420975057,0.03563788425318842
"behavioral_context_seq2, comparison probes",-0.009767753679838677,-0.02035102329605857,0.009767753679838677,0.02035102329605857
behavioral_context_sequence task,-0.011821618792331314,-0.030694862312634567,0.011821618792331314,0.030694862312634567
behavioral_context_sleep,-0.028393260537068667,-0.06189239389625197,0.028393260537068667,0.06189239389625197
"behavioral_context_sleep, sequence task",-0.00912770987835925,-0.024256741743032977,0.00912770987835925,0.024256741743032977
behavioral_context_touchscreen / tactile-visual task,-0.0022305809270372905,-0.06023308506748773,0.0022305809270372905,0.06023308506748773
metadata_profile_label_spike+LFP ephys profile,0.16676061688555954,0.02490231868619951,0.16676061688555954,0.02490231868619951
metadata_profile_label_spike+behavior reusable profile,-0.16676061688555954,-0.02490231868619951,0.16676061688555954,0.02490231868619951
recommended_analysis_type_LFP-behavior analysis,0.17615053193666513,-0.033850235546093704,0.17615053193666513,0.033850235546093704
recommended_analysis_type_spike-behavior analysis,-0.16676061688555954,-0.02490231868619951,0.16676061688555954,0.02490231868619951
recommended_analysis_type_spike/unit analysis,0.020021755879294778,0.08603519107198936,0.020021755879294778,0.08603519107198936
recording_profile_group_lfp_only,0.1761505319366652,-0.03385023554609376,0.1761505319366652,0.03385023554609376
recording_profile_group_spike_behavior,-0.1667606168855595,-0.024902318686199517,0.1667606168855595,0.024902318686199517
recording_profile_group_spike_lfp,0.020021755879294778,0.08603519107198936,0.020021755879294778,0.08603519107198936
has_recording_duration_False,0.06848277045923276,-0.20955309352821627,0.06848277045923276,0.20955309352821627
has_recording_duration_True,-0.06848277045923276,0.20955309352821627,0.06848277045923276,0.20955309352821627
has_spike_metadata_False,0.1761505319366651,-0.03385023554609371,0.1761505319366651,0.03385023554609371
has_spike_metadata_True,-0.1761505319366651,0.03385023554609371,0.1761505319366651,0.03385023554609371
has_sorted_unit_metadata_False,0.17670923616209258,-0.03421228668464377,0.17670923616209258,0.03421228668464377
has_sorted_unit_metadata_True,-0.17670923616209244,0.03421228668464397,0.17670923616209244,0.03421228668464397
has_lfp_metadata_False,-0.08384030514022388,-0.17475429165149234,0.08384030514022388,0.17475429165149234
has_lfp_metadata_True,0.08384030514022392,0.17475429165149242,0.08384030514022392,0.17475429165149242
has_trial_metadata_False,-0.15101624554624923,0.06989256979998841,0.15101624554624923,0.06989256979998841
has_trial_metadata_True,0.15101624554624926,-0.06989256979998841,0.15101624554624926,0.06989256979998841
has_event_metadata_False,-0.06848277045923276,0.20955309352821627,0.06848277045923276,0.20955309352821627
has_event_metadata_True,0.06848277045923276,-0.20955309352821627,0.06848277045923276,0.20955309352821627
has_position_metadata_False,0.1677777269403391,0.02422169233932288,0.1677777269403391,0.02422169233932288
has_position_metadata_True,-0.16777772694033902,-0.02422169233932276,0.16777772694033902,0.02422169233932276
has_sampling_rate_metadata_False,0.15101624554624918,-0.06989256979998873,0.15101624554624918,0.06989256979998873
has_sampling_rate_metadata_True,-0.15101624554624923,0.06989256979998841,0.15101624554624923,0.06989256979998841
has_brain_region_metadata_False,0.07577081743713208,0.19424230672161208,0.07577081743713208,0.19424230672161208
has_brain_region_metadata_True,-0.07577081743713204,-0.19424230672161202,0.07577081743713204,0.19424230672161202
has_standardized_format_False,0.08384030514022392,0.17475429165149242,0.08384030514022392,0.17475429165149242
has_standardized_format_True,-0.08384030514022395,-0.17475429165149242,0.08384030514022395,0.17475429165149242
can_do_spike_analysis_False,0.1761505319366651,-0.03385023554609371,0.1761505319366651,0.03385023554609371
can_do_spike_analysis_True,-0.1761505319366652,0.03385023554609375,0.1761505319366652,0.03385023554609375
can_do_lfp_analysis_False,-0.08384030514022388,-0.17475429165149234,0.08384030514022388,0.17475429165149234
can_do_lfp_analysis_True,0.08384030514022392,0.17475429165149242,0.08384030514022392,0.17475429165149242
can_do_behavior_analysis_False,0.020021755879294778,0.08603519107198936,0.020021755879294778,0.08603519107198936
can_do_behavior_analysis_True,-0.020021755879294768,-0.08603519107198937,0.020021755879294768,0.08603519107198937
can_do_position_analysis_False,0.1677777269403391,0.02422169233932288,0.1677777269403391,0.02422169233932288
can_do_position_analysis_True,-0.1677777269403391,-0.02422169233932288,0.1677777269403391,0.02422169233932288
can_do_spike_behavior_analysis_False,0.16676061688555954,0.024902318686199514,0.16676061688555954,0.024902318686199514
can_do_spike_behavior_analysis_True,-0.16676061688555952,-0.024902318686199573,0.16676061688555952,0.024902318686199573
can_do_spike_position_analysis_False,0.16777772694033902,0.02422169233932276,0.16777772694033902,0.02422169233932276
can_do_spike_position_analysis_True,-0.1677777269403391,-0.02422169233932288,0.1677777269403391,0.02422169233932288
can_do_lfp_behavior_analysis_False,-0.0630907977203637,-0.10435716007897845,0.0630907977203637,0.10435716007897845
can_do_lfp_behavior_analysis_True,0.0630907977203637,0.10435716007897845,0.0630907977203637,0.10435716007897845
can_do_cross_dataset_comparison_False,0.07577081743713208,0.19424230672161208,0.07577081743713208,0.19424230672161208
can_do_cross_dataset_comparison_True,-0.07577081743713204,-0.19424230672161202,0.07577081743713204,0.19424230672161202
context_open_field_False,0.08414198176055397,-0.182628481505603,0.08414198176055397,0.182628481505603
context_open_field_True,-0.08414198176055393,0.182628481505603,0.08414198176055393,0.182628481505603
