dataset_short_name,field_flag,n_missing,n_total,missing_fraction
legacy_touchscreen,has_sampling_rate_metadata,25,25,1.0
legacy_touchscreen,has_subject_metadata,0,25,0.0
legacy_touchscreen,has_session_metadata,0,25,0.0
legacy_touchscreen,has_session_date,0,25,0.0
legacy_touchscreen,has_spike_metadata,0,25,0.0
legacy_touchscreen,has_unit_metadata,0,25,0.0
legacy_touchscreen,has_lfp_metadata,0,25,0.0
legacy_touchscreen,has_trial_metadata,0,25,0.0
legacy_touchscreen,has_event_metadata,0,25,0.0
legacy_touchscreen,has_position_metadata,0,25,0.0
legacy_touchscreen,has_brain_region_metadata,0,25,0.0
nwb_ca1,has_lfp_metadata,53,53,1.0
nwb_ca1,has_trial_metadata,53,53,1.0
nwb_ca1,has_subject_metadata,0,53,0.0
nwb_ca1,has_session_metadata,0,53,0.0
nwb_ca1,has_session_date,0,53,0.0
nwb_ca1,has_spike_metadata,0,53,0.0
nwb_ca1,has_unit_metadata,0,53,0.0
nwb_ca1,has_event_metadata,0,53,0.0
nwb_ca1,has_position_metadata,0,53,0.0
nwb_ca1,has_sampling_rate_metadata,0,53,0.0
nwb_ca1,has_brain_region_metadata,0,53,0.0
openfield_ca1,has_trial_metadata,114,114,1.0
openfield_ca1,has_event_metadata,114,114,1.0
openfield_ca1,has_brain_region_metadata,114,114,1.0
openfield_ca1,has_position_metadata,21,114,0.18421052631578946
openfield_ca1,has_subject_metadata,0,114,0.0
openfield_ca1,has_session_metadata,0,114,0.0
openfield_ca1,has_session_date,0,114,0.0
openfield_ca1,has_spike_metadata,0,114,0.0
openfield_ca1,has_unit_metadata,0,114,0.0
openfield_ca1,has_lfp_metadata,0,114,0.0
openfield_ca1,has_sampling_rate_metadata,0,114,0.0
touchandsee,has_position_metadata,46,46,1.0
touchandsee,has_sampling_rate_metadata,46,46,1.0
touchandsee,has_brain_region_metadata,46,46,1.0
touchandsee,has_spike_metadata,45,46,0.9782608695652174
touchandsee,has_subject_metadata,0,46,0.0
touchandsee,has_session_metadata,0,46,0.0
touchandsee,has_session_date,0,46,0.0
touchandsee,has_unit_metadata,0,46,0.0
touchandsee,has_lfp_metadata,0,46,0.0
touchandsee,has_trial_metadata,0,46,0.0
touchandsee,has_event_metadata,0,46,0.0
