feature,n_categories,categories_preview,used_for_categorical_analysis
metadata_profile_label,2,spike+LFP ephys profile; spike+behavior reusable profile,True
recommended_analysis_type,3,LFP-behavior analysis; spike-behavior analysis; spike/unit analysis,True
recording_profile_group,3,lfp_only; spike_behavior; spike_lfp,True
has_recording_duration,2,False; True,True
has_spike_metadata,2,False; True,True
has_unit_metadata,1,True,True
has_sorted_unit_metadata,2,False; True,True
has_lfp_metadata,2,False; True,True
has_trial_metadata,2,False; True,True
has_event_metadata,2,False; True,True
has_position_metadata,2,False; True,True
has_sampling_rate_metadata,2,False; True,True
has_brain_region_metadata,2,False; True,True
has_standardized_format,2,False; True,True
can_do_spike_analysis,2,False; True,True
can_do_lfp_analysis,2,False; True,True
can_do_behavior_analysis,2,False; True,True
can_do_position_analysis,2,False; True,True
can_do_spike_behavior_analysis,2,False; True,True
can_do_spike_position_analysis,2,False; True,True
can_do_lfp_behavior_analysis,2,False; True,True
can_do_cross_dataset_comparison,2,False; True,True
context_open_field,2,False; True,True
context_object,2,False; True,True
context_task,2,False; True,True
context_sleep,2,False; True,True
