feature,missing_values,missing_fraction,n_unique,mean,std,min,max,used_for_pca
metadata_completeness_score,0,0.0,4,0.7414056531703592,0.08623340253434278,0.6363636363636364,0.9090909090909091,True
ephys_richness_score,0,0.0,3,0.7373949579831933,0.19670833650606365,0.3333333333333333,0.8333333333333334,True
behavior_richness_score,0,0.0,4,0.5126050420168067,0.2662088755687416,0.0,1.0,True
openminds_readiness_score,0,0.0,3,0.7086834733893557,0.16871940853441106,0.5,1.0,True
cross_dataset_reuse_score,0,0.0,5,0.754392666157372,0.17455969124779536,0.45454545454545453,0.9090909090909091,True
data_analysis_potential_score,0,0.0,5,0.7717086834733894,0.24388013070385087,0.3333333333333333,1.0,True
log_best_unit_count,0,0.0,124,4.502016112381784,2.5288459742894136,0.6931471805599453,9.167328481382892,True
log_best_spike_count,0,0.0,141,7.442286901746398,6.314472105700576,0.0,15.612244633296323,True
log_best_behavior_count,0,0.0,101,6.607153145703644,4.906467367989794,0.0,11.548784765670739,True
log_n_lfp_channels,0,0.0,37,2.342022972922433,1.8813882498323886,0.0,5.707110264748875,True
log_n_electrodes,0,0.0,4,1.4697248840524815,2.758991271854293,0.0,7.050122520269059,True
log_n_trials,0,0.0,53,1.2703036033152946,1.9875465602320126,0.0,5.616771097666572,True
log_n_event_times_total,0,0.0,57,2.1904643528377767,3.5991401737615556,0.0,11.449357139707065,True
log_n_position_samples,0,0.0,45,4.416688792865868,5.527246416448606,0.0,11.548784765670739,True
log_recording_duration_s,0,0.0,66,3.6088759031463042,3.7820167334068673,0.0,9.283219017388756,True
log_spikes_per_unit,0,0.0,141,6.015651149186235,5.117195070504598,0.0,13.861816687090714,True
log_units_per_minute,0,0.0,75,0.12177075239829252,0.15289011572559005,0.0,1.0968015140674,True
log_spikes_per_minute,0,0.0,115,4.279564863142344,4.53526734499865,0.0,11.153224459058585,True
log_events_per_trial,0,0.0,27,0.9558003129624041,1.7443424893894497,0.0,6.580235256512085,True
log_lfp_channels_per_unit,0,0.0,84,0.4148242947568222,0.47353848454473374,0.0,3.2809112157876537,True
log_electrodes_per_unit,0,0.0,46,0.10563121676013482,0.2327922728295294,0.0,1.1056053241590802,True
