dataset,analysis_family,session_id,subject_id,context,region,recording_system,recording_duration_s,recording_duration_min,sorted_units_mclust,sorted_unit_spikes_total_mclust,raw_spike_events_total,n_lfp_channels,has_position_metadata,has_sorted_unit_metadata,evidence_level
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-03-22,24101,open_field_continuous_foraging,CA1,Neuralynx,4508.0,75.13333333333334,2,7009,311750,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-03-24,24101,open_field_continuous_foraging,CA1,Neuralynx,2363.0,39.38333333333333,12,56177,494603,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-03-26,24101,open_field_continuous_foraging,CA1,Neuralynx,3222.0,53.7,24,44739,434153,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-03-27,24101,open_field_continuous_foraging,CA1,Neuralynx,5325.0,88.75,18,30928,595025,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-04-03,24101,open_field_continuous_foraging,CA1,Neuralynx,5619.0,93.65,20,41826,605272,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-04-04,24101,open_field_continuous_foraging,CA1,Neuralynx,1813.0,30.216666666666665,22,41782,745382,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-04-05,24101,open_field_continuous_foraging,CA1,Neuralynx,2635.0,43.916666666666664,25,40817,390018,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-04-06,24101,open_field_continuous_foraging,CA1,Neuralynx,7240.0,120.66666666666667,29,18833,406863,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-04-11,24101,open_field_continuous_foraging,CA1,Neuralynx,1474.0,24.566666666666666,49,71373,511829,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-04-13,24101,open_field_continuous_foraging,CA1,Neuralynx,4409.0,73.48333333333333,59,57807,407545,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-04-17,24101,open_field_continuous_foraging,CA1,Neuralynx,2279.0,37.983333333333334,34,21596,205994,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-04-18,24101,open_field_continuous_foraging,CA1,Neuralynx,2038.0,33.96666666666667,11,25913,297578,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-04-23,24101,open_field_continuous_foraging,CA1,Neuralynx,5010.0,83.5,16,16482,416621,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-04-24,24101,open_field_continuous_foraging,CA1,Neuralynx,2581.0,43.016666666666666,20,21448,731088,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-04-25,24101,open_field_continuous_foraging,CA1,Neuralynx,2907.0,48.45,23,134365,516776,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-04-30,24101,open_field_continuous_foraging,CA1,Neuralynx,2026.0,33.766666666666666,9,13328,1062349,14,False,True,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,24101_2018-05-02,24101,open_field_continuous_foraging,CA1,Neuralynx,6467.0,107.78333333333333,6,15567,997821,14,False,True,continuous_reference
