dataset_short_name,session_id,subject_id,trial_id,trial_type,trial_outcome,trial_side,object_id,n_spikes_total,n_spiketrains,n_events,is_preview_record,source_level
legacy_touchscreen,rat-14_190130,rat-14,tid_rat-14_190130_000,M,0.0,R,-1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-14_190130,rat-14,tid_rat-14_190130_001,M,1.0,R,1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-14_190130,rat-14,tid_rat-14_190130_002,M,1.0,L,-1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-14_190131,rat-14,tid_rat-14_190131_000,T,0.0,R,-1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-14_190131,rat-14,tid_rat-14_190131_001,T,1.0,R,1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-14_190131,rat-14,tid_rat-14_190131_002,T,1.0,R,1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-14_190205,rat-14,tid_rat-14_190205_000,M,1.0,L,-1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-14_190205,rat-14,tid_rat-14_190205_001,M,0.0,L,1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-14_190205,rat-14,tid_rat-14_190205_002,M,0.0,R,-1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-14_190207,rat-14,tid_rat-14_190207_000,M,0.0,R,-1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-14_190207,rat-14,tid_rat-14_190207_001,M,1.0,R,1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-14_190207,rat-14,tid_rat-14_190207_002,M,1.0,L,-1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-16_181012,rat-16,tid_rat-16_181012_000,M,1.0,R,1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-16_181012,rat-16,tid_rat-16_181012_001,V,0.0,R,-1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-16_181012,rat-16,tid_rat-16_181012_002,V,0.0,R,-1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-16_181015,rat-16,tid_rat-16_181015_000,M,1.0,L,-1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-16_181015,rat-16,tid_rat-16_181015_001,V,0.0,R,-1.0,,,,True,legacy_trial_preview_records
legacy_touchscreen,rat-16_181015,rat-16,tid_rat-16_181015_002,V,1.0,R,1.0,,,,True,legacy_trial_preview_records
