dataset_short_name,session_id,subject_id,session_date,behavioral_context,raw_session_description,recording_system,brain_region,source_file_or_folder,n_units,n_spikes_total,n_raw_spike_events,recording_duration_s,mean_firing_rate_hz,median_firing_rate_hz,n_trials,n_events_total,n_lfp_channels,n_position_samples,n_electrodes,has_position,source_level,detail_level
nwb_ca1,26863_2020-Nov-04_12-46-06,26863_Ash,2020-11-04,other,35 mins; OF; decent coverage; still plugged in from previous session in room 2.408,NWB / Neuropixels,LEC,data\26863\26863_2020-Nov-04_12-46-06.nwb,1072,,,,,,0,1,0,,384,True,nwb_session_summary,session_only
nwb_ca1,26863_2020-Nov-05_10-26-23,26863_Ash,2020-11-05,open_field_object,open field; object,NWB / Neuropixels,LEC,data\26863\26863_2020-Nov-05_10-26-23.nwb,721,,,,,,0,1,0,,384,True,nwb_session_summary,session_only
nwb_ca1,26965_2020-Dec-07_15-52-32,26965_Bubinga,2020-12-07,unknown,,NWB / Neuropixels,LEC,data\26965\26965_2020-Dec-07_15-52-32.nwb,393,,,,,,0,1,0,,384,True,nwb_session_summary,session_only
nwb_ca1,26965_2020-Dec-07_16-51-52,26965_Bubinga,2020-12-07,unknown,,NWB / Neuropixels,LEC,data\26965\26965_2020-Dec-07_16-51-52.nwb,393,,,,,,0,1,0,,384,True,nwb_session_summary,session_only
nwb_ca1,26965_2020-Dec-08_10-46-12,26965_Bubinga,2020-12-08,sequence_task,figure-eight,NWB / Neuropixels,LEC,data\26965\26965_2020-Dec-08_10-46-12.nwb,393,,,,,,0,1,0,,384,True,nwb_session_summary,session_only
nwb_ca1,26965_2020-Dec-08_11-29-48,26965_Bubinga,2020-12-08,open_field,open field (motive crashed),NWB / Neuropixels,LEC,data\26965\26965_2020-Dec-08_11-29-48.nwb,240,,,,,,0,1,0,,384,True,nwb_session_summary,session_only
nwb_ca1,26965_2020-Dec-08_14-36-11,26965_Bubinga,2020-12-08,open_field,open field; party lights,NWB / Neuropixels,LEC,data\26965\26965_2020-Dec-08_14-36-11.nwb,548,,,,,,0,1,0,,384,True,nwb_session_summary,session_only
nwb_ca1,26965_2020-Dec-09_11-52-59,26965_Bubinga,2020-12-09,sequence_task,figure-eight,NWB / Neuropixels,LEC,data\26965\26965_2020-Dec-09_11-52-59.nwb,544,,,,,,0,1,0,,384,True,nwb_session_summary,session_only
nwb_ca1,26965_2020-Dec-09_12-10-58,26965_Bubinga,2020-12-09,open_field_object,open field; object,NWB / Neuropixels,LEC,data\26965\26965_2020-Dec-09_12-10-58.nwb,548,,,,,,0,1,0,,384,True,nwb_session_summary,session_only
nwb_ca1,26965_2020-Dec-11_10-58-11,26965_Bubinga,2020-12-11,open_field,open field; party lights,NWB / Neuropixels,LEC,data\26965\26965_2020-Dec-11_10-58-11.nwb,544,,,,,,0,1,0,,384,True,nwb_session_summary,session_only
