dataset_short_name,session_id,subject_id,session_date,behavioral_context,recording_system,brain_region,source_file_or_folder,n_units,n_spikes_total,n_raw_spike_events,recording_duration_s,mean_firing_rate_hz,median_firing_rate_hz,n_trials,n_events_total,n_lfp_channels,n_position_samples,n_electrodes,has_position,source_level,detail_level
touchandsee,Ramachandran_samp20_2012-08-09,Ramachandran,2012-08-09,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Ramachandran\samp20\hbp-01681_TouchAndSee_Ramachandran_samp20__2012-08-09.pkl,910,283058,,,,,35,210,105,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Ramachandran_samp21_2012-08-10,Ramachandran,2012-08-10,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Ramachandran\samp21\hbp-01681_TouchAndSee_Ramachandran_samp21__2012-08-10.pkl,2050,0,,,,,50,300,150,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Ramachandran_samp22_2012-08-11,Ramachandran,2012-08-11,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Ramachandran\samp22\hbp-01681_TouchAndSee_Ramachandran_samp22__2012-08-11.pkl,1014,0,,,,,39,234,117,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Ramachandran_samp23_2012-08-12,Ramachandran,2012-08-12,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Ramachandran\samp23\hbp-01681_TouchAndSee_Ramachandran_samp23__2012-08-12.pkl,768,0,,,,,32,192,96,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Ramachandran_samp24_2012-08-13,Ramachandran,2012-08-13,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Ramachandran\samp24\hbp-01681_TouchAndSee_Ramachandran_samp24__2012-08-13.pkl,1496,0,,,,,44,264,132,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Ramachandran_samp25_2012-08-14,Ramachandran,2012-08-14,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Ramachandran\samp25\hbp-01681_TouchAndSee_Ramachandran_samp25__2012-08-14.pkl,378,0,,,,,54,324,162,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Ramachandran_samp26_2012-08-15,Ramachandran,2012-08-15,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Ramachandran\samp26\hbp-01681_TouchAndSee_Ramachandran_samp26__2012-08-15.pkl,1560,0,,,,,52,312,156,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Ramachandran_samp27_2012-08-16,Ramachandran,2012-08-16,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Ramachandran\samp27\hbp-01681_TouchAndSee_Ramachandran_samp27__2012-08-16.pkl,2256,0,,,,,48,288,144,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Ramachandran_samp28_2012-08-17,Ramachandran,2012-08-17,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Ramachandran\samp28\hbp-01681_TouchAndSee_Ramachandran_samp28__2012-08-17.pkl,4700,0,,,,,47,282,141,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Ramachandran_samp29_2012-08-18,Ramachandran,2012-08-18,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Ramachandran\samp29\hbp-01681_TouchAndSee_Ramachandran_samp29__2012-08-18.pkl,2277,0,,,,,33,198,99,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Ramachandran_samp30_2012-08-20,Ramachandran,2012-08-20,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Ramachandran\samp30\hbp-01681_TouchAndSee_Ramachandran_samp30__2012-08-20.pkl,2835,0,,,,,45,270,135,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Ramachandran_samp31_2012-08-21,Ramachandran,2012-08-21,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Ramachandran\samp31\hbp-01681_TouchAndSee_Ramachandran_samp31__2012-08-21.pkl,1728,0,,,,,36,216,108,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Ramachandran_samp32_2012-08-22,Ramachandran,2012-08-22,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Ramachandran\samp32\hbp-01681_TouchAndSee_Ramachandran_samp32__2012-08-22.pkl,896,0,,,,,32,192,96,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Ramachandran_samp33_2012-08-22,Ramachandran,2012-08-22,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Ramachandran\samp33\hbp-01681_TouchAndSee_Ramachandran_samp33__2012-08-22.pkl,420,0,,,,,35,210,105,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Taskmaster_samp1_2012-01-03,Taskmaster,2012-01-03,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp1\hbp-01681_TouchAndSee_Taskmaster_samp1__2012-01-03.pkl,4368,0,,,,,78,468,234,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Taskmaster_samp10_2012-01-15,Taskmaster,2012-01-15,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp10\hbp-01681_TouchAndSee_Taskmaster_samp10__2012-01-15.pkl,4950,0,,,,,75,450,225,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Taskmaster_samp11_2012-01-16,Taskmaster,2012-01-16,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp11\hbp-01681_TouchAndSee_Taskmaster_samp11__2012-01-16.pkl,4092,0,,,,,62,372,186,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Taskmaster_samp12_2012-01-17,Taskmaster,2012-01-17,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp12\hbp-01681_TouchAndSee_Taskmaster_samp12__2012-01-17.pkl,3139,0,,,,,73,438,219,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Taskmaster_samp13_2012-01-18,Taskmaster,2012-01-18,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp13\hbp-01681_TouchAndSee_Taskmaster_samp13__2012-01-18.pkl,2900,0,,,,,58,348,174,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Taskmaster_samp14_2011-12-22,Taskmaster,2011-12-22,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp14\hbp-01681_TouchAndSee_Taskmaster_samp14__2011-12-22.pkl,310,0,,,,,31,186,93,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Taskmaster_samp15_2011-12-23,Taskmaster,2011-12-23,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp15\hbp-01681_TouchAndSee_Taskmaster_samp15__2011-12-23.pkl,1296,0,,,,,36,216,108,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Taskmaster_samp16_2011-12-24,Taskmaster,2011-12-24,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp16\hbp-01681_TouchAndSee_Taskmaster_samp16__2011-12-24.pkl,3233,0,,,,,61,366,183,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Taskmaster_samp17_2011-12-25,Taskmaster,2011-12-25,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp17\hbp-01681_TouchAndSee_Taskmaster_samp17__2011-12-25.pkl,4355,0,,,,,65,390,195,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Taskmaster_samp18_2011-12-29,Taskmaster,2011-12-29,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp18\hbp-01681_TouchAndSee_Taskmaster_samp18__2011-12-29.pkl,4500,0,,,,,100,600,300,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
touchandsee,Taskmaster_samp19_2011-12-30,Taskmaster,2011-12-30,object_task,Neo pickle legacy,unspecified TouchAndSee recording groups,TouchAndSee\Taskmaster\samp19\hbp-01681_TouchAndSee_Taskmaster_samp19__2011-12-30.pkl,3916,0,,,,,89,534,267,,,False,touchandsee_compact_block_summary,session_plus_preview_trials
