dataset_short_name,session_id,subject_id,trial_id,trial_type,trial_outcome,trial_side,object_id,n_spikes_total,n_spiketrains,n_events,is_preview_record,source_level
touchandsee,Ramachandran_samp20_2012-08-09,Ramachandran,Trial 1,normal,incorrect,right,,6385,26,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp20_2012-08-09,Ramachandran,Trial 2,normal,incorrect,right,,3937,26,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp20_2012-08-09,Ramachandran,Trial 6,memory,correct,right,,3461,26,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp20_2012-08-09,Ramachandran,Trial 7,normal,incorrect,left,,6154,26,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp20_2012-08-09,Ramachandran,Trial 8,normal,incorrect,right,,2451,26,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp21_2012-08-10,Ramachandran,Trial 2,normal,correct,left,,0,41,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp21_2012-08-10,Ramachandran,Trial 3,normal,incorrect,right,,0,41,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp21_2012-08-10,Ramachandran,Trial 4,normal,incorrect,right,,0,41,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp21_2012-08-10,Ramachandran,Trial 5,normal,correct,right,,0,41,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp21_2012-08-10,Ramachandran,Trial 6,memory,correct,right,,0,41,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp22_2012-08-11,Ramachandran,Trial 2,normal,correct,right,,0,26,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp22_2012-08-11,Ramachandran,Trial 4,normal,correct,right,,0,26,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp22_2012-08-11,Ramachandran,Trial 5,normal,correct,left,,0,26,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp22_2012-08-11,Ramachandran,Trial 6,normal,incorrect,right,,0,26,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp22_2012-08-11,Ramachandran,Trial 7,normal,incorrect,right,,0,26,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp23_2012-08-12,Ramachandran,Trial 3,normal,incorrect,right,,0,24,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp23_2012-08-12,Ramachandran,Trial 5,memory,correct,right,,0,24,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp23_2012-08-12,Ramachandran,Trial 7,memory,correct,right,,0,24,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp23_2012-08-12,Ramachandran,Trial 8,normal,correct,left,,0,24,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp23_2012-08-12,Ramachandran,Trial 9,normal,incorrect,right,,0,24,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp24_2012-08-13,Ramachandran,Trial 3,normal,correct,left,,0,34,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp24_2012-08-13,Ramachandran,Trial 4,normal,correct,right,,0,34,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp24_2012-08-13,Ramachandran,Trial 5,normal,correct,right,,0,34,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp24_2012-08-13,Ramachandran,Trial 6,memory,correct,left,,0,34,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp24_2012-08-13,Ramachandran,Trial 7,normal,correct,right,,0,34,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp25_2012-08-14,Ramachandran,Trial 1,memory,incorrect,right,,0,7,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp25_2012-08-14,Ramachandran,Trial 2,normal,incorrect,left,,0,7,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp25_2012-08-14,Ramachandran,Trial 3,memory,incorrect,right,,0,7,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp25_2012-08-14,Ramachandran,Trial 5,normal,incorrect,left,,0,7,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp25_2012-08-14,Ramachandran,Trial 6,normal,incorrect,right,,0,7,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp26_2012-08-15,Ramachandran,Trial 1,normal,incorrect,right,,0,30,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp26_2012-08-15,Ramachandran,Trial 2,normal,correct,left,,0,30,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp26_2012-08-15,Ramachandran,Trial 3,normal,correct,left,,0,30,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp26_2012-08-15,Ramachandran,Trial 4,normal,incorrect,left,,0,30,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp26_2012-08-15,Ramachandran,Trial 6,normal,correct,right,,0,30,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp27_2012-08-16,Ramachandran,Trial 1,memory,incorrect,right,,0,47,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp27_2012-08-16,Ramachandran,Trial 2,normal,correct,left,,0,47,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp27_2012-08-16,Ramachandran,Trial 3,normal,incorrect,left,,0,47,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp27_2012-08-16,Ramachandran,Trial 4,normal,incorrect,right,,0,47,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp27_2012-08-16,Ramachandran,Trial 5,normal,correct,right,,0,47,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp28_2012-08-17,Ramachandran,Trial 1,normal,incorrect,right,,0,100,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp28_2012-08-17,Ramachandran,Trial 3,normal,correct,right,,0,100,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp28_2012-08-17,Ramachandran,Trial 4,normal,incorrect,right,,0,100,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp28_2012-08-17,Ramachandran,Trial 5,normal,correct,left,,0,100,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp28_2012-08-17,Ramachandran,Trial 6,normal,correct,right,,0,100,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp29_2012-08-18,Ramachandran,Trial 3,normal,correct,left,,0,69,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp29_2012-08-18,Ramachandran,Trial 4,normal,correct,right,,0,69,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp29_2012-08-18,Ramachandran,Trial 5,normal,correct,left,,0,69,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp29_2012-08-18,Ramachandran,Trial 7,normal,correct,left,,0,69,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp29_2012-08-18,Ramachandran,Trial 8,memory,incorrect,right,,0,69,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp30_2012-08-20,Ramachandran,Trial 1,normal,correct,right,,0,63,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp30_2012-08-20,Ramachandran,Trial 2,memory,incorrect,left,,0,63,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp30_2012-08-20,Ramachandran,Trial 3,normal,correct,right,,0,63,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp30_2012-08-20,Ramachandran,Trial 5,normal,incorrect,right,,0,63,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp30_2012-08-20,Ramachandran,Trial 6,normal,correct,left,,0,63,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp31_2012-08-21,Ramachandran,Trial 1,normal,incorrect,left,,0,48,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp31_2012-08-21,Ramachandran,Trial 2,memory,incorrect,right,,0,48,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp31_2012-08-21,Ramachandran,Trial 3,normal,correct,right,,0,48,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp31_2012-08-21,Ramachandran,Trial 4,normal,correct,right,,0,48,6,True,touchandsee_segment_preview
touchandsee,Ramachandran_samp31_2012-08-21,Ramachandran,Trial 5,normal,correct,left,,0,48,6,True,touchandsee_segment_preview
