dataset_name,file_name,relative_path,file_extension,file_size_mb,rat_id,subject_id,session_date,session_id,data_label,possible_signal_type,neo_attempted,neo_success,neo_error,neo_io_class,neo_loading_mode,n_segments,n_analogsignals,n_spiketrains,n_events,n_epochs,sampling_rates_hz,units,durations_s,pickle_attempted,pickle_success,pickle_error,nwb_attempted,nwb_success,nwb_error,notes
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-14_190130.pkl,neo_rat-14_190130.pkl,.pkl,79.461,rat-14,rat-14,190130,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-14_190131.pkl,neo_rat-14_190131.pkl,.pkl,368.193,rat-14,rat-14,190131,,,,True,False,No module named 'neo.core.channelindex',,,,,,,,,,,True,False,No module named 'neo.core.channelindex',,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-14_190202.pkl,neo_rat-14_190202.pkl,.pkl,184.807,rat-14,rat-14,190202,,,,True,False,No module named 'neo.core.channelindex',,,,,,,,,,,True,False,No module named 'neo.core.channelindex',,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-14_190202_lfps.nio,neo_rat-14_190202_lfps.nio,.nio,898.717,rat-14,rat-14,190202,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-14_190204.pkl,neo_rat-14_190204.pkl,.pkl,167.019,rat-14,rat-14,190204,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-14_190204_lfps.nio,neo_rat-14_190204_lfps.nio,.nio,1094.279,rat-14,rat-14,190204,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-14_190205.pkl,neo_rat-14_190205.pkl,.pkl,174.723,rat-14,rat-14,190205,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,,,,,,,,True,False,_new_IrregularlySampledSignal() takes from 3 to 13 positional arguments but 14 were given,,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-14_190206.pkl,neo_rat-14_190206.pkl,.pkl,175.993,rat-14,rat-14,190206,,,,True,False,No module named 'neo.core.channelindex',,,,,,,,,,,True,False,No module named 'neo.core.channelindex',,,,
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-14_190206_lfps.nio,neo_rat-14_190206_lfps.nio,.nio,1036.091,rat-14,rat-14,190206,,lfps,,True,False,nio is not a supported format of any IO.,,,,,,,,,,,,,,,,,.nio is not recognized as a standard Neo IO format by the current environment. File-level metadata and Neo attempt are recorded.
d-d406a98c-ae5c-4fb3-9f0c-4cf4de9b1094-hbp-data-002061-data,neo_rat-14_190207.pkl,neo_rat-14_190207.pkl,.pkl,211.309,rat-14,rat-14,190207,,,,True,False,No module named 'neo.core.channelindex',,,,,,,,,,,True,False,No module named 'neo.core.channelindex',,,,
