lag_index,lag_value_s,mean_distance,median_distance,n_pairs,session_id,subject_id,context
1,10.0,0.7075214417577806,0.7132242413465896,212,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
2,20.0,0.7923900772563465,0.7632688243020651,211,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
3,30.0,0.8321706301679082,0.8284172647367376,210,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
4,40.0,0.8599988551626643,0.8646765829324855,209,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
5,50.0,0.8671755821119708,0.8569596220564129,208,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
6,60.0,0.899372482235065,0.9207166648602979,207,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
7,70.0,0.913101484031723,0.8964463856388982,206,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
8,80.0,0.9208130215206147,0.933015092421108,205,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
9,90.0,0.9029682984736823,0.9067936053896231,204,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
10,100.0,0.9238349892898166,0.9216329698390107,203,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
11,110.0,0.9422424041107361,0.9506463084161074,202,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
12,120.0,0.9684230920245473,0.9722653137382277,201,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
13,130.0,0.9537516289630895,0.9673739020114119,200,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
14,140.0,0.9481121184540465,0.9526429087061439,199,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
15,150.0,0.9497175773862203,0.9589115946333844,198,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
16,160.0,0.9625287583718829,0.981051802988592,197,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
17,170.0,0.9635217528743065,0.9700540878283813,196,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
18,180.0,0.9556309333320221,0.9717072903174452,195,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
19,190.0,0.9439459052543651,0.9359240445048902,194,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
20,200.0,0.958159973878272,0.9592369744184654,193,26863_2020-Nov-04_12-46-06,26863_Ash,open_field
1,10.0,0.7662359952975979,0.7624872735432007,152,26863_2020-Nov-05_10-26-23,26863_Ash,object_context
2,20.0,0.8350980011360493,0.8573658178886427,151,26863_2020-Nov-05_10-26-23,26863_Ash,object_context
3,30.0,0.875828135610249,0.8898444788180369,150,26863_2020-Nov-05_10-26-23,26863_Ash,object_context
4,40.0,0.9042597773070115,0.8869740317642625,149,26863_2020-Nov-05_10-26-23,26863_Ash,object_context
5,50.0,0.9463686686493646,0.9529357961647513,148,26863_2020-Nov-05_10-26-23,26863_Ash,object_context
6,60.0,0.9186759488423026,0.9396926530123155,147,26863_2020-Nov-05_10-26-23,26863_Ash,object_context
7,70.0,0.9399030353704075,0.9589263326956226,146,26863_2020-Nov-05_10-26-23,26863_Ash,object_context
