session_id,subject_id,context,status,n_units_available,fixed_units,n_repeats_ok,toi_median,toi_mean,toi_std,duration_s_median,n_bins_median,description
26863_2020-Nov-04_12-46-06,26863_Ash,open_field,ok,1072,50,50,0.0008933047320404414,0.00089002898659443,8.649333249916084e-05,2127.9792166666666,213.0,35 mins; OF; decent coverage; still plugged in from previous session in room 2.408
26863_2020-Nov-05_10-26-23,26863_Ash,object_context,ok,720,50,50,0.0007144619905798185,0.0007117071713739309,8.715300645240351e-05,1524.9870666666668,153.0,open field; object
26965_2020-Dec-08_11-29-48,26965_Bubinga,open_field,ok,239,50,50,0.0006305433829437072,0.0006217118738202057,0.0001010461970624256,881.2417666666666,89.0,open field (motive crashed)
26965_2020-Dec-08_14-36-11,26965_Bubinga,open_field,ok,546,50,50,0.0011321119257089493,0.0011295569614506716,0.0001464906055827993,747.9950333333331,75.0,open field; party lights
26965_2020-Dec-09_12-10-58,26965_Bubinga,object_context,ok,546,50,50,0.001103552391923589,0.0010993151527854883,0.0001446046115201154,787.9952333333333,79.0,open field; object
26965_2020-Dec-11_10-58-11,26965_Bubinga,open_field,ok,540,50,50,0.0005513018745665575,0.0005784575970621443,0.00012436816259711725,566.9877833333334,57.0,open field; party lights
26966_2020-Dec-14_15-18-10,26966_Cedar,object_context,ok,462,50,50,0.0012731819315111872,0.0012569992834020418,0.00014362767954936924,1027.9944333333335,103.0,open field; novel object
26966_2020-Dec-16_11-48-01,26966_Cedar,object_context,ok,530,50,50,0.0009112122102186353,0.0009443902989983224,0.00011200354701854245,907.9850000000001,91.0,open field; object
27284_2021-Jun-15_19-16-52,27284_Douglas,open_field,ok,2289,50,50,0.0009925001099872408,0.0009973397435956216,9.440156109345656e-05,1256.9785000000002,126.0,"2 OF sessions with short pot break inbetween, some jumping"
27284_2021-Jun-16_08-24-12,27284_Douglas,sleep,ok,2536,50,50,0.0012324837012460841,0.0012290253609496499,9.3313072569215e-05,9968.565066666666,997.0,sleep
27284_2021-Jun-16_14-33-11,27284_Douglas,open_field,ok,2764,50,50,0.0010952933496731717,0.0010715064002600073,0.00013762039144565616,1470.7899333333335,148.0,OF tall walls
27284_2021-Jun-17_15-01-36,27284_Douglas,object_context,ok,1638,50,50,0.001197805900256037,0.0011951650724361259,0.0001533391609734647,1285.9914166666667,129.0,OF and obj
27284_2021-Jun-18_11-01-41,27284_Douglas,open_field,ok,1225,50,50,0.0014155952352574368,0.00141303933116331,8.419907059080468e-05,1066.9942833333334,107.0,open field and objA of WWW
27285_2021-Jul-01_08-10-45,27285_Elm,sleep,ok,8699,50,50,0.0008633162501714539,0.0008605262107211834,0.00023420496792433626,8254.951716666666,826.0,"sleep, sequence task"
27285_2021-Jul-01_13-26-22,27285_Elm,open_field,ok,950,50,50,0.0006618162368230367,0.00065480065330163,0.00012811672849577556,612.98085,62.0,"open field, WHAT, and WHERE"
27285_2021-Jul-02_13-23-12,27285_Elm,open_field,ok,867,50,50,0.0008874848811198505,0.0008930890586121489,0.00015674374279392756,601.9749166666667,61.0,"open field, WHEN1"
