absolute_path,file_name,session_id,subject_id,description,clean_context,region_text,region,n_units_metadata,n_electrodes
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26863\26863_2020-Nov-04_12-46-06.nwb,26863_2020-Nov-04_12-46-06.nwb,26863_2020-Nov-04_12-46-06,26863_Ash,35 mins; OF; decent coverage; still plugged in from previous session in room 2.408,open_field,LEC,LEC,1072,384
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26863\26863_2020-Nov-05_10-26-23.nwb,26863_2020-Nov-05_10-26-23.nwb,26863_2020-Nov-05_10-26-23,26863_Ash,open field; object,object_context,LEC,LEC,721,384
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26965\26965_2020-Dec-08_11-29-48.nwb,26965_2020-Dec-08_11-29-48.nwb,26965_2020-Dec-08_11-29-48,26965_Bubinga,open field (motive crashed),open_field,LEC,LEC,240,384
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26965\26965_2020-Dec-08_14-36-11.nwb,26965_2020-Dec-08_14-36-11.nwb,26965_2020-Dec-08_14-36-11,26965_Bubinga,open field; party lights,open_field,LEC,LEC,548,384
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26965\26965_2020-Dec-09_12-10-58.nwb,26965_2020-Dec-09_12-10-58.nwb,26965_2020-Dec-09_12-10-58,26965_Bubinga,open field; object,object_context,LEC,LEC,548,384
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26965\26965_2020-Dec-11_10-58-11.nwb,26965_2020-Dec-11_10-58-11.nwb,26965_2020-Dec-11_10-58-11,26965_Bubinga,open field; party lights,open_field,LEC,LEC,544,384
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26966\26966_2020-Dec-14_15-18-10.nwb,26966_2020-Dec-14_15-18-10.nwb,26966_2020-Dec-14_15-18-10,26966_Cedar,open field; novel object,object_context,LEC,LEC,477,384
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\26966\26966_2020-Dec-16_11-48-01.nwb,26966_2020-Dec-16_11-48-01.nwb,26966_2020-Dec-16_11-48-01,26966_Cedar,open field; object,object_context,LEC,LEC,540,384
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27284\27284_2021-Jun-15_19-16-52.nwb,27284_2021-Jun-15_19-16-52.nwb,27284_2021-Jun-15_19-16-52,27284_Douglas,"2 OF sessions with short pot break inbetween, some jumping",open_field,LEC;MEC - Layer 2,LEC,2306,768
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27284\27284_2021-Jun-16_08-24-12.nwb,27284_2021-Jun-16_08-24-12.nwb,27284_2021-Jun-16_08-24-12,27284_Douglas,sleep,sleep,LEC;MEC - Layer 2,LEC,2537,768
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27284\27284_2021-Jun-16_14-33-11.nwb,27284_2021-Jun-16_14-33-11.nwb,27284_2021-Jun-16_14-33-11,27284_Douglas,OF tall walls,open_field,LEC;MEC - Layer 2,LEC,2772,768
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27284\27284_2021-Jun-17_15-01-36.nwb,27284_2021-Jun-17_15-01-36.nwb,27284_2021-Jun-17_15-01-36,27284_Douglas,OF and obj,object_context,LEC;MEC - Layer 2,LEC,1639,768
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27284\27284_2021-Jun-18_11-01-41.nwb,27284_2021-Jun-18_11-01-41.nwb,27284_2021-Jun-18_11-01-41,27284_Douglas,open field and objA of WWW,open_field,LEC;MEC - Layer 2,LEC,1226,768
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27285\27285_2021-Jul-01_08-10-45.nwb,27285_2021-Jul-01_08-10-45.nwb,27285_2021-Jul-01_08-10-45,27285_Elm,"sleep, sequence task",sleep,LEC;HP - CA3;MEC - Layer 2,LEC,8703,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27285\27285_2021-Jul-01_13-26-22.nwb,27285_2021-Jul-01_13-26-22.nwb,27285_2021-Jul-01_13-26-22,27285_Elm,"open field, WHAT, and WHERE",open_field,LEC;HP - CA3;MEC - Layer 2,LEC,951,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27285\27285_2021-Jul-02_13-23-12.nwb,27285_2021-Jul-02_13-23-12.nwb,27285_2021-Jul-02_13-23-12,27285_Elm,"open field, WHEN1",open_field,LEC;HP - CA3;MEC - Layer 2,LEC,875,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27285\27285_2021-Jun-30_10-03-39.nwb,27285_2021-Jun-30_10-03-39.nwb,27285_2021-Jun-30_10-03-39,27285_Elm,sequence task,sequence_task,LEC;HP - CA3;MEC - Layer 2,LEC,9578,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27285\27285_2021-Jun-30_13-05-14.nwb,27285_2021-Jun-30_13-05-14.nwb,27285_2021-Jun-30_13-05-14,27285_Elm,sequence task,sequence_task,LEC;HP - CA3;MEC - Layer 2,LEC,9578,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27285\27285_2021-Jun-30_13-59-11.nwb,27285_2021-Jun-30_13-59-11.nwb,27285_2021-Jun-30_13-59-11,27285_Elm,"open field, open field",open_field,LEC;HP - CA3;MEC - Layer 2,LEC,2253,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27963\27963_2022-Feb-08_21-14-27.nwb,27963_2022-Feb-08_21-14-27.nwb,27963_2022-Feb-08_21-14-27,27963_Hemlock,OF,open_field,LEC;HP - CA1;MEC - Layer 2,LEC,1890,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27963\27963_2022-Feb-09_08-02-57.nwb,27963_2022-Feb-09_08-02-57.nwb,27963_2022-Feb-09_08-02-57,27963_Hemlock,sleep,sleep,LEC;HP - CA1;MEC - Layer 2,LEC,2312,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27963\27963_2022-Feb-10_11-06-56.nwb,27963_2022-Feb-10_11-06-56.nwb,27963_2022-Feb-10_11-06-56,27963_Hemlock,"OF, obj, obj, obj",object_context,LEC;HP - CA1;MEC - Layer 2,LEC,1357,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27963\27963_2022-Feb-10_14-07-47.nwb,27963_2022-Feb-10_14-07-47.nwb,27963_2022-Feb-10_14-07-47,27963_Hemlock,"OF, obj, obj, obj",object_context,LEC;HP - CA1;MEC - Layer 2,LEC,1288,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27963\27963_2022-Feb-11_14-58-41.nwb,27963_2022-Feb-11_14-58-41.nwb,27963_2022-Feb-11_14-58-41,27963_Hemlock,OF,open_field,LEC;HP - CA1;MEC - Layer 2,LEC,1033,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\28003\28003_2022-Mar-07_20-44-03.nwb,28003_2022-Mar-07_20-44-03.nwb,28003_2022-Mar-07_20-44-03,28003_Ironwood,"OF, LEC was likely deep layers",open_field,LEC;HP - CA1;MEC - Layer 2,LEC,895,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\28003\28003_2022-Mar-08_11-22-53.nwb,28003_2022-Mar-08_11-22-53.nwb,28003_2022-Mar-08_11-22-53,28003_Ironwood,OF,open_field,LEC;HP - CA1;MEC - Layer 2,LEC,1193,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\28003\28003_2022-Mar-08_11-38-59.nwb,28003_2022-Mar-08_11-38-59.nwb,28003_2022-Mar-08_11-38-59,28003_Ironwood,OF,open_field,LEC;HP - CA1;MEC - Layer 2,LEC,1056,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\28003\28003_2022-Mar-08_15-04-04.nwb,28003_2022-Mar-08_15-04-04.nwb,28003_2022-Mar-08_15-04-04,28003_Ironwood,object events,object_context,LEC;HP - CA1;MEC - Layer 2,LEC,1386,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\28003\28003_2022-Mar-09_07-54-00.nwb,28003_2022-Mar-09_07-54-00.nwb,28003_2022-Mar-09_07-54-00,28003_Ironwood,sleep,sleep,LEC;HP - CA1;MEC - Layer 2,LEC,1598,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\28003\28003_2022-Mar-10_10-53-58.nwb,28003_2022-Mar-10_10-53-58.nwb,28003_2022-Mar-10_10-53-58,28003_Ironwood,object events,object_context,LEC;HP - CA1;MEC - Layer 2,LEC,834,1152
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29629\29629_2024-Oct-29_15-05-13.nwb,29629_2024-Oct-29_15-05-13.nwb,29629_2024-Oct-29_15-05-13,29629_Karri,"OF, OBJ",object_context,LEC;HP - CA1,LEC,380,768
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29629\29629_2024-Oct-30_05-40-15.nwb,29629_2024-Oct-30_05-40-15.nwb,29629_2024-Oct-30_05-40-15,29629_Karri,sleep,sleep,LEC;HP - CA1,LEC,1009,768
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29629\29629_2024-Oct-30_15-13-05.nwb,29629_2024-Oct-30_15-13-05.nwb,29629_2024-Oct-30_15-13-05,29629_Karri,"OF, OBJ",object_context,LEC;HP - CA1,LEC,396,768
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-17_07-08-26.nwb,29630_2024-Sep-17_07-08-26.nwb,29630_2024-Sep-17_07-08-26,29630_Juniper,sleep,sleep,LEC;MEC - Layer 2,LEC,2728,768
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-17_09-22-08.nwb,29630_2024-Sep-17_09-22-08.nwb,29630_2024-Sep-17_09-22-08,29630_Juniper,"OF, OBJ",object_context,LEC;MEC - Layer 2,LEC,2119,768
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-17_23-09-30.nwb,29630_2024-Sep-17_23-09-30.nwb,29630_2024-Sep-17_23-09-30,29630_Juniper,sleep,sleep,LEC;MEC - Layer 2,LEC,2776,768
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-18_10-18-21.nwb,29630_2024-Sep-18_10-18-21.nwb,29630_2024-Sep-18_10-18-21,29630_Juniper,"OF, OBJ",object_context,LEC;MEC - Layer 2,LEC,1918,768
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-18_15-19-16.nwb,29630_2024-Sep-18_15-19-16.nwb,29630_2024-Sep-18_15-19-16,29630_Juniper,"OF, OBJ",object_context,LEC;MEC - Layer 2,LEC,2246,768
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-19_05-09-20.nwb,29630_2024-Sep-19_05-09-20.nwb,29630_2024-Sep-19_05-09-20,29630_Juniper,sleep,sleep,LEC;MEC - Layer 2,LEC,2195,768
C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-20_09-49-05.nwb,29630_2024-Sep-20_09-49-05.nwb,29630_2024-Sep-20_09-49-05,29630_Juniper,"OF, OBJ",object_context,LEC;MEC - Layer 2,LEC,1749,768
