dataset,session_id,subject_id,analysis,contrast,effect_size_cliffs_delta,p_value,n_group_a,n_group_b,n_trials,status,evidence_level,spearman_r,p_value_bh
TouchAndSee object-memory,Ramachandran_samp20_2012-08-09,Ramachandran,memory_vs_normal_trial_activity,memory - normal,-0.5,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp20_2012-08-09,Ramachandran,correct_vs_incorrect_trial_activity,correct - incorrect,-0.5,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp20_2012-08-09,Ramachandran,trial_order_activity_drift,activity ~ trial_number,,0.1881204043741873,,,5,ok,trial_segment_summary,-0.7,1.0
TouchAndSee object-memory,Ramachandran_samp21_2012-08-10,Ramachandran,memory_vs_normal_trial_activity,memory - normal,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp21_2012-08-10,Ramachandran,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Ramachandran_samp21_2012-08-10,Ramachandran,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp22_2012-08-11,Ramachandran,memory_vs_normal_trial_activity,memory - normal,,,0.0,5.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp22_2012-08-11,Ramachandran,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Ramachandran_samp22_2012-08-11,Ramachandran,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp23_2012-08-12,Ramachandran,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Ramachandran_samp23_2012-08-12,Ramachandran,correct_vs_incorrect_trial_activity,correct - incorrect,0.0,1.0,3.0,2.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Ramachandran_samp23_2012-08-12,Ramachandran,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp24_2012-08-13,Ramachandran,memory_vs_normal_trial_activity,memory - normal,0.0,,1.0,4.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp24_2012-08-13,Ramachandran,correct_vs_incorrect_trial_activity,correct - incorrect,,,5.0,0.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp24_2012-08-13,Ramachandran,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp25_2012-08-14,Ramachandran,memory_vs_normal_trial_activity,memory - normal,0.0,1.0,2.0,3.0,5,ok,trial_segment_summary,,1.0
TouchAndSee object-memory,Ramachandran_samp25_2012-08-14,Ramachandran,correct_vs_incorrect_trial_activity,correct - incorrect,,,0.0,5.0,5,insufficient_groups,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp25_2012-08-14,Ramachandran,trial_order_activity_drift,activity ~ trial_number,,,,,5,insufficient_trial_order,trial_segment_summary,,
TouchAndSee object-memory,Ramachandran_samp26_2012-08-15,Ramachandran,memory_vs_normal_trial_activity,memory - normal,,,0.0,5.0,5,insufficient_groups,trial_segment_summary,,
